,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city,civic_count
0,"POLYGON ((494324.36910769687 4140139.900782528, 494346.08474079834 4140176.319063597, 494356.9919627446 4140195.715261134, 494418.8833845285 4140335.370554008, 494431.97821783286 4140371.2290377757, 494442.60970436124 4140402.496225404, 494469.74646078073 4140475.2998908195, 494491.37794651155 4140530.022613017, 494818.1755447965 4140530.022613017, 494818.1755447965 4140037.859610446, 494366.91665023565 4140037.859610446, 494364.91305059456 4140052.307602602, 494349.92768037517 4140087.940877597, 494335.02780472086 4140118.9589789873, 494324.36910769687 4140139.900782528))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
1,"POLYGON ((494491.37794651155 4140530.022613017, 494493.2899957001 4140534.859661099, 494499.8847919969 4140551.2856810605, 494519.3461067085 4140593.951899772, 494534.12063282623 4140628.522537277, 494606.2866748438 4140806.2142755445, 494620.1163387407 4140845.012541622, 494635.8488693186 4140884.5085382173, 494652.90770665277 4140922.60585869, 494688.4793599056 4140989.957677442, 494705.80941380473 4141022.1856155875, 494818.1755447964 4141022.185615587, 494818.1755447965 4140530.022613017, 494491.37794651155 4140530.022613017))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
2,"POLYGON ((494705.80941380473 4141022.1856155875, 494724.6786883542 4141057.2759745987, 494746.3473834378 4141095.969663827, 494767.9226664399 4141141.242279426, 494799.0323448727 4141222.1987731275, 494813.05018013075 4141253.0871590064, 494818.17554479634 4141263.1373570925, 494818.1755447964 4141022.185615587, 494705.80941380473 4141022.1856155875))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
3,"POLYGON ((494818.1755447965 4140037.859610446, 494818.17554479645 4139835.6921048183, 494758.0799273657 4139868.5773087335, 494730.0268780988 4139871.5238124724, 494707.97007282637 4139867.9099982474, 494688.4151950816 4139860.14545933, 494671.99401039956 4139853.59931569, 494635.35716630553 4139830.347374623, 494604.03617037134 4139816.278065013, 494574.48523774353 4139802.4074160717, 494542.4572212194 4139790.1804165025, 494520.2992108368 4139794.632568907, 494501.6212596495 4139801.9780452605, 494481.21302427264 4139815.8591275592, 494456.3345129599 4139828.223337005, 494425.9899607461 4139845.5059521506, 494403.50672745303 4139866.1781966123, 494383.3246513076 4139900.0287372004, 494378.1120890166 4139926.524942875, 494373.5178998802 4139964.425465647, 494372.44313712575 4139998.008016544, 494366.91665023565 4140037.859610446, 494818.1755447965 4140037.859610446))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
4,"POLYGON ((494818.17554479634 4141263.1373570925, 494829.13004016184 4141284.617750303, 494850.63638186175 4141320.0612463667, 494872.38083829376 4141354.5061825695, 494898.3397347716 4141393.408434358, 494914.30209963396 4141421.8661966054, 494929.03392250114 4141449.5037734765, 494949.02948088996 4141490.1404969967, 494955.95198458334 4141509.817277282, 494957.2008358945 4141514.348618157, 495311.98198189604 4141514.3486181567, 495311.98198189604 4141022.1856155875, 494818.1755447964 4141022.185615587, 494818.17554479634 4141263.1373570925))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
5,"POLYGON ((494957.2008358945 4141514.348618157, 494966.4957996 4141548.074529796, 494979.20189611276 4141591.966309704, 494994.4447096308 4141646.273969856, 495008.5788798552 4141696.532970408, 495015.72242946166 4141716.464838572, 495017.56496549374 4141734.824512137, 495023.2593667155 4141743.274835354, 495040.65640340914 4141760.8375672554, 495079.9056485207 4141774.105087437, 495164.5503293696 4141856.7844829042, 495172.7709763296 4141873.520757187, 495224.3277940402 4141934.4865872925, 495246.14833675855 4141968.2224573037, 495260.8782813569 4141996.1823707316, 495266.0433924395 4142006.5116207264, 495311.98198189604 4142006.511620728, 495311.98198189604 4141514.3486181567, 494957.2008358945 4141514.348618157))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
6,"POLYGON ((495266.0433924395 4142006.5116207264, 495292.057981489 4142058.535902393, 495292.5661253211 4142065.3030340057, 495306.42768859933 4142091.532837497, 495311.9819818959 4142099.97593748, 495311.98198189604 4142006.511620728, 495266.0433924395 4142006.5116207264))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
7,"POLYGON ((495311.98198189604 4141022.1856155875, 495311.9819818959 4140530.022613017, 494818.1755447965 4140530.022613017, 494818.1755447964 4141022.185615587, 495311.98198189604 4141022.1856155875))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
8,"POLYGON ((495311.9819818959 4140530.022613017, 495311.98198189604 4140037.8596104467, 494818.1755447965 4140037.859610446, 494818.1755447965 4140530.022613017, 495311.9819818959 4140530.022613017))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
9,"POLYGON ((495311.98198189604 4140037.8596104467, 495311.9819818959 4139545.6966078766, 495105.86449040734 4139545.6966078775, 495103.94183286186 4139549.7672387254, 495067.6371536167 4139609.574643313, 495007.6134234575 4139683.075374327, 494993.30842672713 4139707.801571701, 494970.76231643424 4139729.8812680542, 494894.90718827 4139788.7259904793, 494862.4055132425 4139811.488816897, 494818.17554479645 4139835.6921048183, 494818.1755447965 4140037.859610446, 495311.98198189604 4140037.8596104467))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Catania,
